survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone,has_deck,embarked_Q,embarked_S,fare_normalized
0,3,0,22.0,1,0,7.25,1,0,0,False,True,0.014151057562208049
1,1,1,38.0,1,0,71.2833,0,0,1,False,False,0.13913573538264068
1,3,1,26.0,0,0,7.925,0,1,0,False,True,0.015468569817999833
1,1,1,35.0,1,0,53.1,0,0,1,False,True,0.10364429745562033
0,3,0,35.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
0,3,0,28.0,0,0,8.4583,1,1,0,True,False,0.01650950209357577
0,1,0,54.0,0,0,51.8625,1,1,1,False,True,0.10122885832000206
0,3,0,2.0,3,1,21.075,0,0,0,False,True,0.04113566043083236
1,3,1,27.0,0,2,11.1333,0,0,0,False,True,0.021730754366528396
1,2,1,14.0,1,0,30.0708,0,0,0,False,False,0.058694292654020104
1,3,1,4.0,1,1,16.7,0,0,1,False,True,0.03259622914329302
1,1,1,58.0,0,0,26.55,0,1,1,False,True,0.051822148727810165
0,3,0,20.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
0,3,0,39.0,1,5,31.275,1,0,0,False,True,0.06104473451835265
0,3,1,14.0,0,0,7.8542,0,1,0,False,True,0.015330377421392339
1,2,1,55.0,0,0,16.0,0,1,0,False,True,0.03122992013728673
0,3,0,2.0,4,1,29.125,0,0,0,True,False,0.056848213999904744
1,2,0,28.0,0,0,13.0,1,1,0,False,True,0.025374310111545468
0,3,1,31.0,1,0,18.0,0,0,0,False,True,0.03513366015444757
1,3,1,28.0,0,0,7.225,0,1,0,False,False,0.014102260811993537
0,2,0,35.0,0,0,26.0,1,1,0,False,True,0.050748620223090936
1,2,0,34.0,0,0,13.0,1,1,1,False,True,0.025374310111545468
1,3,1,15.0,0,0,8.0292,0,1,0,True,False,0.015671954672893913
1,1,0,28.0,0,0,35.5,1,1,1,False,True,0.06929138530460492
0,3,1,8.0,3,1,21.075,0,0,0,False,True,0.04113566043083236
1,3,1,38.0,1,5,31.3875,0,0,0,False,True,0.061264319894317944
0,3,0,28.0,0,0,7.225,1,1,0,False,False,0.014102260811993537
0,1,0,19.0,3,2,263.0,1,0,1,False,True,0.5133418122566505
1,3,1,28.0,0,0,7.8792,0,1,0,True,False,0.01537917417160685
0,3,0,28.0,0,0,7.8958,1,1,0,False,True,0.015411575213749284
0,1,0,40.0,0,0,27.7208,1,1,0,False,False,0.05410739813385612
1,1,1,28.0,1,0,146.5208,0,0,1,False,False,0.2859895551532101
1,3,1,28.0,0,0,7.75,0,1,0,True,False,0.015126992566498259
0,2,0,66.0,0,0,10.5,1,1,0,False,True,0.020494635090094415
0,1,0,28.0,1,0,82.1708,1,0,0,False,False,0.16038672010106
0,1,0,42.0,1,0,52.0,1,0,0,False,True,0.10149724044618187
1,3,0,28.0,0,0,7.2292,1,1,0,False,False,0.014110458666029575
0,3,0,21.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
0,3,1,18.0,2,0,18.0,0,0,0,False,True,0.03513366015444757
1,3,1,14.0,1,0,11.2417,0,0,0,False,False,0.021942337075458514
0,3,1,40.0,1,0,9.475,0,0,0,False,True,0.018493968331299484
0,2,1,27.0,1,0,21.0,0,0,0,False,True,0.04098927018018883
0,3,0,28.0,0,0,7.8958,1,1,0,False,False,0.015411575213749284
1,2,1,3.0,1,2,41.5792,0,0,0,False,False,0.08115719346076702
1,3,1,19.0,0,0,7.8792,0,1,0,True,False,0.01537917417160685
0,3,0,28.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
0,3,0,28.0,1,0,15.5,1,0,0,True,False,0.030253985132996517
1,3,1,28.0,0,0,7.75,0,1,0,True,False,0.015126992566498259
0,3,0,28.0,2,0,21.6792,1,0,0,False,False,0.04231498029001666
0,3,1,18.0,1,0,17.8,0,0,0,False,True,0.034743286152731485
0,3,0,7.0,4,1,39.6875,0,0,0,False,True,0.07746484096553544
0,3,0,21.0,0,0,7.8,1,1,0,False,True,0.01522458606692728
1,1,1,49.0,1,0,76.7292,0,0,1,False,False,0.1497654242623688
1,2,1,29.0,1,0,26.0,0,0,0,False,True,0.050748620223090936
0,1,0,65.0,0,1,61.9792,1,0,1,False,False,0.1209753416358076
1,1,0,28.0,0,0,35.5,1,1,1,False,True,0.06929138530460492
1,2,1,21.0,0,0,10.5,0,1,0,False,True,0.020494635090094415
0,3,0,28.5,0,0,7.2292,1,1,0,False,False,0.014110458666029575
1,2,1,5.0,1,2,27.75,0,0,0,False,True,0.05416439273810667
0,3,0,11.0,5,2,46.9,0,0,0,False,True,0.09154270340242172
0,3,0,22.0,0,0,7.2292,1,1,0,False,False,0.014110458666029575
1,1,1,38.0,0,0,80.0,0,1,1,False,True,0.15614960068643363
0,1,0,45.0,1,0,83.475,1,0,1,False,True,0.16293234896625058
0,3,0,4.0,3,2,27.9,0,0,0,False,True,0.05445717323939373
0,1,0,28.0,0,0,27.7208,1,1,0,False,False,0.05410739813385612
1,3,0,28.0,1,1,15.2458,1,0,0,False,False,0.029757819776815374
1,2,1,29.0,0,0,10.5,0,1,1,False,True,0.020494635090094415
0,3,0,19.0,0,0,8.1583,1,1,0,False,True,0.015923941091001644
1,3,1,17.0,4,2,7.925,0,0,0,False,True,0.015468569817999833
0,3,0,26.0,2,0,8.6625,1,0,0,False,True,0.016908073949327893
0,2,0,32.0,0,0,10.5,1,1,0,False,True,0.020494635090094415
0,3,1,16.0,5,2,46.9,0,0,0,False,True,0.09154270340242172
0,2,0,21.0,0,0,73.5,1,1,0,False,True,0.1434624456306609
0,3,0,26.0,1,0,14.4542,1,0,0,False,False,0.028212719478023115
1,3,0,32.0,0,0,56.4958,1,1,0,False,True,0.11027245763075773
0,3,0,25.0,0,0,7.65,1,1,1,False,True,0.014931805565640218
0,3,0,28.0,0,0,7.8958,1,1,0,False,True,0.015411575213749284
0,3,0,28.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
1,2,0,0.83,0,2,29.0,0,0,0,False,True,0.056604230248832196
1,3,1,30.0,0,0,12.475,0,1,0,False,True,0.024349578357040744
0,3,0,22.0,0,0,9.0,1,1,0,False,True,0.017566830077223785
1,3,0,29.0,0,0,9.5,1,1,0,False,True,0.018542765081513996
1,3,1,28.0,0,0,7.7875,0,1,0,True,False,0.015200187691820024
0,1,0,28.0,0,0,47.1,1,1,0,False,True,0.09193307740413781
1,2,1,17.0,0,0,10.5,0,1,0,False,True,0.020494635090094415
1,3,1,33.0,3,0,15.85,0,0,0,False,True,0.030937139635999665
0,3,0,16.0,1,3,34.375,1,0,0,False,True,0.06709553154495196
0,3,0,28.0,0,0,8.05,1,1,0,False,True,0.015712553569072387
